date,count
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-28,1576542
2020-01-29,1296112
2020-01-27,927208
2020-01-28,0
2020-01-29,0
2020-01-30,1243600
2020-01-29,55526
2020-01-31,698
2020-01-31,399991
2020-02-04,2047968
2020-02-05,32916
2020-02-02,1729865
2020-02-03,2062785
2020-02-01,1320644
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,1290386
2020-02-04,1790
2020-02-08,928800
2020-02-10,203238
2020-02-07,2707201
2020-02-09,605054
2020-02-06,1762318
2020-02-06,0
2020-02-07,0
2020-02-08,984295
2020-02-10,161698
2020-02-09,1053751
2020-02-10,14082
2020-02-09,85917
2020-02-11,297751
2020-02-10,702201
2020-02-11,2284596
2020-02-10,55915
2020-02-12,1358532
2020-02-13,1217795
2020-02-14,211636
2020-02-12,770413
2020-02-13,303238
2020-02-14,96734
2020-02-16,1415035
2020-02-14,587351
2020-02-17,771211
2020-02-18,325508
2020-02-15,1299768
2020-02-15,0
2020-02-16,0
2020-02-17,790878
2020-02-18,609064
2020-02-19,720928
2020-02-20,644590
2020-02-18,34384
2020-02-19,2378325
2020-02-20,1211334
2020-02-18,410075
2020-02-20,420209
2020-02-21,179745
2020-02-25,1257606
2020-02-22,2560787
2020-02-20,296086
2020-02-21,1474651
2020-02-23,2468486
2020-02-24,2641239
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-26,568126
2020-02-25,1831664
2020-02-26,1599873
2020-02-25,99990
2020-02-26,330330
2020-03-03,2836619
2020-03-02,4134900
2020-03-01,3257986
2020-02-27,2213826
2020-02-29,2423326
2020-02-28,1896635
2020-02-28,0
2020-03-03,203977
2020-03-02,263752
2020-03-01,216556
2020-02-29,115075
2020-03-01,0
2020-03-02,0
2020-03-03,2253650
2020-03-05,3658
2020-03-04,2839569
2020-03-03,62040
2020-03-05,2160310
2020-03-04,2276069
2020-03-06,91099
